file,boxes_csv,boxes_parquet,delta_boxes,kilos_csv,kilos_parquet,delta_kilos,rows_csv,rows_parquet,status
datos_semana_1303.csv,28847437,28847437,0,121307218.0,121307218.0,0.0,5406,5406,OK
datos_semana_1304.csv,37900300,37900300,0,153090045.0,153090045.0,0.0,6578,6578,OK
datos_semana_1305.csv,29131744,29131744,0,122697714.0,122697714.0,0.0,6497,6497,OK
datos_semana_1306.csv,21609412,21609412,0,91759242.0,91759242.0,0.0,4920,4920,OK
datos_semana_1307.csv,20758474,20758474,0,98422358.0,98422358.0,0.0,5776,5776,OK
datos_semana_1308.csv,9211084,9211084,0,56406005.0,56406005.0,0.0,4053,4053,OK
datos_semana_1309.csv,11086827,11086827,0,74624382.0,74624382.0,0.0,4800,4800,OK
datos_semana_1310.csv,12117671,12117671,0,82563614.0,82563614.0,0.0,5150,5150,OK
datos_semana_1311.csv,8055732,8055732,0,61138679.0,61138679.0,0.0,3762,3762,OK
datos_semana_1312.csv,9833780,9833780,0,72949937.0,72949937.0,0.0,3925,3925,OK
datos_semana_1313.csv,11123914,11123914,0,91112617.0,91112617.0,0.0,4333,4333,OK
datos_semana_1314.csv,10556554,10556554,0,90927041.0,90927041.0,0.0,4314,4314,OK
datos_semana_1315.csv,3720997,3720997,0,32341934.0,32341934.0,0.0,1588,1588,OK
datos_semana_558.csv,1034658,1034658,0,15419946.0,15419946.0,0.0,681,681,OK
datos_semana_559.csv,1943726,1943726,0,24813224.0,24813224.0,0.0,907,907,OK
datos_semana_560.csv,1359843,1359843,0,17917222.0,17917222.0,0.0,747,747,OK
datos_semana_561.csv,1326899,1326899,0,15470344.0,15470344.0,0.0,621,621,OK
datos_semana_562.csv,1216189,1216189,0,15469166.0,15469166.0,0.0,704,704,OK
datos_semana_563.csv,1449763,1449763,0,17592193.0,17592193.0,0.0,726,726,OK
datos_semana_564.csv,1424978,1424978,0,16027167.0,16027167.0,0.0,677,677,OK
datos_semana_565.csv,1061539,1061539,0,13359064.0,13359064.0,0.0,602,602,OK
datos_semana_566.csv,1179695,1179695,0,13393688.0,13393688.0,0.0,571,571,OK
datos_semana_567.csv,1050693,1050693,0,11087467.0,11087467.0,0.0,518,518,OK
datos_semana_568.csv,1107780,1107780,0,11136385.0,11136385.0,0.0,687,687,OK
datos_semana_569.csv,1587849,1587849,0,13493185.0,13493185.0,0.0,1003,1003,OK
datos_semana_570.csv,2096267,2096267,0,14698562.0,14698562.0,0.0,1312,1312,OK
datos_semana_571.csv,3087242,3087242,0,19296799.0,19296799.0,0.0,1763,1763,OK
datos_semana_572.csv,5225244,5225244,0,29692852.0,29692852.0,0.0,2499,2499,OK
datos_semana_573.csv,4468350,4468350,0,27454884.0,27454884.0,0.0,2228,2228,OK
datos_semana_574.csv,8475946,8475946,0,51242010.0,51242010.0,0.0,2670,2670,OK
datos_semana_575.csv,7439960,7439960,0,49604177.0,49604177.0,0.0,2793,2793,OK
datos_semana_576.csv,5431015,5431015,0,37683262.0,37683262.0,0.0,2389,2389,OK
datos_semana_577.csv,8482079,8482079,0,62061259.0,62061259.0,0.0,3282,3282,OK
datos_semana_578.csv,5650004,5650004,0,41687330.0,41687330.0,0.0,2612,2612,OK
datos_semana_579.csv,8089274,8089274,0,58028928.0,58028928.0,0.0,3319,3319,OK
datos_semana_580.csv,9844442,9844442,0,76788164.0,76788164.0,0.0,3925,3925,OK
datos_semana_581.csv,10142514,10142514,0,76377294.0,76377294.0,0.0,4123,4123,OK
datos_semana_582.csv,10753004,10753004,0,84769245.0,84769245.0,0.0,4426,4426,OK
datos_semana_583.csv,11385780,11385780,0,93536608.0,93536608.0,0.0,4673,4673,OK
datos_semana_584.csv,12338517,12338517,0,105746445.0,105746445.0,0.0,4655,4655,OK
datos_semana_585.csv,11267695,11267695,0,99740455.0,99740455.0,0.0,4052,4052,OK
datos_semana_586.csv,15271911,15271911,0,134850821.0,134850821.0,0.0,4371,4371,OK
datos_semana_587.csv,15141016,15141016,0,144295682.0,144295682.0,0.0,4231,4231,OK
datos_semana_588.csv,11569682,11569682,0,108693635.0,108693635.0,0.0,3571,3571,OK
datos_semana_589.csv,11737954,11737954,0,113451231.0,113451231.0,0.0,3762,3762,OK
datos_semana_590.csv,11362820,11362820,0,114555349.0,114555349.0,0.0,3675,3675,OK
datos_semana_591.csv,6819442,6819442,0,71091984.0,71091984.0,0.0,2486,2486,OK
datos_semana_592.csv,7640152,7640152,0,84122555.0,84122555.0,0.0,2701,2701,OK
datos_semana_593.csv,6764851,6764851,0,81757009.0,81757009.0,0.0,2578,2578,OK
datos_semana_594.csv,4880244,4880244,0,59770829.0,59770829.0,0.0,1971,1971,OK
datos_semana_595.csv,5826346,5826346,0,71756921.0,71756921.0,0.0,2322,2322,OK
datos_semana_596.csv,3622133,3622133,0,48330983.0,48330983.0,0.0,1600,1600,OK
datos_semana_597.csv,4100529,4100529,0,57849850.0,57849850.0,0.0,1932,1932,OK
datos_semana_598.csv,2645286,2645286,0,37336797.0,37336797.0,0.0,1440,1440,OK
datos_semana_599.csv,2886949,2886949,0,41921632.0,41921632.0,0.0,1497,1497,OK
datos_semana_600.csv,2772540,2772540,0,42274197.0,42274197.0,0.0,1495,1495,OK
datos_semana_601.csv,3379505,3379505,0,49547889.0,49547889.0,0.0,1501,1501,OK
datos_semana_602.csv,2699330,2699330,0,39881414.0,39881414.0,0.0,1387,1387,OK
datos_semana_603.csv,1948281,1948281,0,29207486.0,29207486.0,0.0,1091,1091,OK
datos_semana_604.csv,2491352,2491352,0,37351448.0,37351448.0,0.0,1238,1238,OK
datos_semana_605.csv,2522049,2522049,0,36394335.0,36394335.0,0.0,1194,1194,OK
datos_semana_606.csv,2197015,2197015,0,32563109.0,32563109.0,0.0,1043,1043,OK
